Emotions,Path
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-01-01-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-01-02-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-02-01-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-02-02-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-01-01-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-01-02-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-02-01-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-02-02-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-01-01-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-01-02-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-02-01-01.wav
angry,./input/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-02-02-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-01-01-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-01-02-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-02-01-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-02-02-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-01-01-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-01-02-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-02-01-01.wav
fear,./input/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-02-02-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-01-01-01-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-01-01-02-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-01-02-01-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-01-02-02-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-02-01-01-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-02-01-02-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-02-02-01-01.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_01/03-01-07-02-02-02-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-01-01-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-01-02-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-02-01-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-02-02-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-01-01-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-01-02-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-02-01-01.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-02-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-02-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-02-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-01-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-01-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-02-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-01-02-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-02-01-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-02-01-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-02-02-01-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_02/03-01-02-02-02-02-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-01-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-02-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-02-01-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-02-02-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-01-01-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-01-02-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-02-01-02.wav
happy,./input/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-02-02-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-01-01-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-01-02-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-02-01-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-02-02-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-01-01-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-01-02-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-02-01-02.wav
sad,./input/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-02-02-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-01-01-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-01-02-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-02-01-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-02-02-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-01-01-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-01-02-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-01-02.wav
angry,./input/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-02-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-01-01-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-01-02-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-02-01-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-02-02-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-01-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-02-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-02-01-02.wav
fear,./input/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-02-02-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-01-01-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-01-02-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-02-01-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-01-02-02-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-02-01-01-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-02-01-02-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-02-02-01-02.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_02/03-01-07-02-02-02-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-01-01-01-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-01-01-02-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-01-02-01-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-01-02-02-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-01-01-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-01-02-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-02-01-02.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_02/03-01-08-02-02-02-02.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-01-01-01-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-01-01-01-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-01-01-02-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-01-01-02-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-01-01-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-01-01-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-01-02-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-01-02-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-02-01-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-02-01-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-02-02-01-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_03/03-01-02-02-02-02-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-01-01-01-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-01-01-02-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-01-02-01-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-01-02-02-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-02-01-01-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-02-01-02-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-02-02-01-03.wav
happy,./input/ravdess-emotional-speech-audio/Actor_03/03-01-03-02-02-02-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-01-01-01-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-01-01-02-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-01-02-01-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-01-02-02-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-02-01-01-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-02-01-02-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-02-02-01-03.wav
sad,./input/ravdess-emotional-speech-audio/Actor_03/03-01-04-02-02-02-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-01-01-01-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-01-01-02-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-01-02-01-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-01-02-02-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-02-01-01-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-02-01-02-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-02-02-01-03.wav
angry,./input/ravdess-emotional-speech-audio/Actor_03/03-01-05-02-02-02-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-01-01-01-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-01-01-02-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-01-02-01-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-01-02-02-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-02-01-01-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-02-01-02-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-02-02-01-03.wav
fear,./input/ravdess-emotional-speech-audio/Actor_03/03-01-06-02-02-02-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-01-01-01-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-01-01-02-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-01-02-01-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-01-02-02-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-02-01-01-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-02-01-02-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-02-02-01-03.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_03/03-01-07-02-02-02-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-01-01-01-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-01-01-02-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-01-02-01-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-01-02-02-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-02-01-01-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-02-01-02-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-02-02-01-03.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_03/03-01-08-02-02-02-03.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-01-01-01-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-01-01-01-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-01-01-02-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-01-01-02-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-01-01-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-01-01-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-01-02-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-01-02-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-02-01-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-02-01-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-02-02-01-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_04/03-01-02-02-02-02-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-01-01-01-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-01-01-02-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-01-02-01-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-01-02-02-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-02-01-01-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-02-01-02-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-02-02-01-04.wav
happy,./input/ravdess-emotional-speech-audio/Actor_04/03-01-03-02-02-02-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-01-01-01-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-01-01-02-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-01-02-01-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-01-02-02-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-02-01-01-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-02-01-02-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-02-02-01-04.wav
sad,./input/ravdess-emotional-speech-audio/Actor_04/03-01-04-02-02-02-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-01-01-01-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-01-01-02-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-01-02-01-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-01-02-02-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-02-01-01-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-02-01-02-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-02-02-01-04.wav
angry,./input/ravdess-emotional-speech-audio/Actor_04/03-01-05-02-02-02-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-01-01-01-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-01-01-02-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-01-02-01-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-01-02-02-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-02-01-01-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-02-01-02-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-02-02-01-04.wav
fear,./input/ravdess-emotional-speech-audio/Actor_04/03-01-06-02-02-02-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-01-01-01-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-01-01-02-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-01-02-01-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-01-02-02-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-02-01-01-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-02-01-02-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-02-02-01-04.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_04/03-01-07-02-02-02-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-01-01-01-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-01-01-02-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-01-02-01-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-01-02-02-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-02-01-01-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-02-01-02-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-02-02-01-04.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_04/03-01-08-02-02-02-04.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-01-01-01-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-01-01-01-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-01-01-02-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-01-01-02-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-01-01-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-01-01-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-01-02-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-01-02-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-02-01-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-02-01-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-02-02-01-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_05/03-01-02-02-02-02-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-01-01-01-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-01-01-02-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-01-02-01-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-01-02-02-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-02-01-01-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-02-01-02-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-02-02-01-05.wav
happy,./input/ravdess-emotional-speech-audio/Actor_05/03-01-03-02-02-02-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-01-01-01-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-01-01-02-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-01-02-01-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-01-02-02-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-02-01-01-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-02-01-02-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-02-02-01-05.wav
sad,./input/ravdess-emotional-speech-audio/Actor_05/03-01-04-02-02-02-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-01-01-01-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-01-01-02-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-01-02-01-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-01-02-02-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-02-01-01-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-02-01-02-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-02-02-01-05.wav
angry,./input/ravdess-emotional-speech-audio/Actor_05/03-01-05-02-02-02-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-01-01-01-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-01-01-02-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-01-02-01-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-01-02-02-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-02-01-01-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-02-01-02-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-02-02-01-05.wav
fear,./input/ravdess-emotional-speech-audio/Actor_05/03-01-06-02-02-02-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-01-01-01-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-01-01-02-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-01-02-01-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-01-02-02-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-02-01-01-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-02-01-02-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-02-02-01-05.wav
disgust,./input/ravdess-emotional-speech-audio/Actor_05/03-01-07-02-02-02-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-01-01-01-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-01-01-02-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-01-02-01-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-01-02-02-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-02-01-01-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-02-01-02-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-02-02-01-05.wav
surprise,./input/ravdess-emotional-speech-audio/Actor_05/03-01-08-02-02-02-05.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-01-01-01-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-01-01-01-02-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-01-01-02-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-01-01-02-02-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-01-01-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-01-01-02-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-01-02-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-01-02-02-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-02-01-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-02-01-02-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-02-02-01-06.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_06/03-01-02-02-02-02-06.wav
happy,./input/ravdess-emotional-speech-audio/Actor_06/03-01-03-01-01-01-06.wav
happy,./input/ravdess-emotional-speech-audio/Actor_06/03-01-03-01-01-02-06.wav
